Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Bobby Reid,FUL,12,769,4.0,4.0,0.0,2.34,2.34,0.06,3.08,0.97,0.27,0.27,0.01,0.28,0.28,0.36,0.11
Che Adams,SOU,13,1137,4.0,4.0,4.0,4.28,4.28,3.27,6.2,0.90,0.34,0.34,0.26,0.60,0.60,0.49,0.07
David McGoldrick,SHU,11,610,4.0,4.0,0.0,1.61,1.61,0.65,2.58,1.25,0.24,0.24,0.10,0.33,0.33,0.38,0.18
Jannik Vestergaard,SOU,12,1032,3.0,3.0,0.0,0.64,0.64,0.63,2.73,2.69,0.06,0.06,0.06,0.11,0.11,0.24,0.23
Pierre-Emerick Aubameyang,ARS,13,1167,3.0,2.0,1.0,2.64,1.87,1.50,4.53,1.26,0.20,0.14,0.12,0.32,0.26,0.35,0.10
Roberto Firmino,LIV,13,1075,3.0,3.0,2.0,4.71,4.71,1.63,9.3,4.10,0.39,0.39,0.14,0.53,0.53,0.78,0.34
Michail Antonio,WHU,7,537,3.0,3.0,0.0,2.96,2.96,0.34,3.67,0.63,0.50,0.50,0.06,0.55,0.55,0.62,0.11
Christian Benteke,CRY,9,300,3.0,3.0,0.0,2.33,2.33,0.36,2.54,0.90,0.70,0.70,0.11,0.81,0.81,0.76,0.27
Raheem Sterling,MCI,11,910,3.0,3.0,2.0,3.71,3.71,2.41,8.3,4.30,0.37,0.37,0.24,0.60,0.60,0.82,0.43
Tammy Abraham,CHE,12,593,3.0,3.0,1.0,3.44,3.44,0.72,4.03,0.87,0.52,0.52,0.11,0.63,0.63,0.61,0.13
Jorginho,CHE,7,459,3.0,0.0,1.0,3.12,0.07,0.15,1.37,1.37,0.61,0.01,0.03,0.64,0.04,0.27,0.27
James Rodríguez,EVE,10,861,3.0,3.0,3.0,2.21,2.21,3.85,8.15,4.88,0.23,0.23,0.40,0.63,0.63,0.85,0.51
Alexandre Lacazette,ARS,10,647,3.0,3.0,0.0,3.36,3.36,0.53,4.16,0.53,0.47,0.47,0.07,0.54,0.54,0.58,0.07
Edinson Cavani,MUN,6,165,3.0,3.0,1.0,1.49,1.49,0.29,1.69,0.85,0.81,0.81,0.16,0.97,0.97,0.92,0.46
Mateusz Klich,LEE,13,1151,3.0,1.0,4.0,2.21,0.69,2.60,8.37,5.61,0.17,0.05,0.20,0.38,0.26,0.65,0.44
Youri Tielemans,LEI,13,1170,3.0,1.0,0.0,2.57,1.04,0.18,4.1,3.29,0.20,0.08,0.01,0.21,0.09,0.32,0.25
Sébastien Haller,WHU,12,614,3.0,3.0,0.0,2.25,2.25,0.98,3.34,0.66,0.33,0.33,0.14,0.47,0.47,0.49,0.10
Harvey Barnes,LEI,12,835,3.0,3.0,1.0,2.99,2.99,0.24,2.77,0.22,0.32,0.32,0.03,0.35,0.35,0.30,0.02
James Maddison,LEI,12,706,3.0,3.0,1.0,1.04,1.04,1.20,2.68,1.52,0.13,0.13,0.15,0.28,0.28,0.34,0.19
Tomas Soucek,WHU,13,1170,3.0,3.0,0.0,3.44,3.44,0.39,4.42,1.93,0.26,0.26,0.03,0.29,0.29,0.34,0.15
Daniel Podence,WOL,12,935,3.0,3.0,2.0,2.22,2.22,1.07,5.17,2.46,0.21,0.21,0.10,0.32,0.32,0.50,0.24
Pascal Groß,BHA,12,603,2.0,0.0,2.0,1.96,0.43,1.41,2.54,1.36,0.29,0.06,0.21,0.50,0.28,0.38,0.20
Kevin De Bruyne,MCI,11,921,2.0,0.0,6.0,5.13,2.85,5.38,8.56,3.83,0.50,0.28,0.53,1.03,0.80,0.84,0.37
Olivier Giroud,CHE,8,283,2.0,2.0,0.0,2.87,2.87,1.14,1.59,0.06,0.91,0.91,0.36,1.27,1.27,0.51,0.02
Theo Walcott,EVE,9,676,2.0,2.0,2.0,1.71,1.71,0.33,2.8,0.85,0.23,0.23,0.04,0.27,0.27,0.37,0.11
