Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Antonio,Michail,WHU,6,490,3.0,3.0,0.0,2.96,2.96,0.34,3.65,0.60,0.54,0.54,0.06,0.61,0.61,0.67,0.11
Ward-Prowse,James,SOU,8,720,3.0,3.0,1.0,0.65,0.65,1.03,1.82,1.47,0.08,0.08,0.13,0.21,0.21,0.23,0.18
Zouma,Kurt,CHE,7,630,3.0,3.0,0.0,0.55,0.55,0.02,0.78,0.78,0.08,0.08,0.00,0.08,0.08,0.11,0.11
Jorginho,Jorginho,CHE,7,459,3.0,0.0,1.0,3.12,0.07,0.15,1.37,1.37,0.61,0.01,0.03,0.64,0.04,0.27,0.27
Bowen,Jarrod,WHU,8,674,3.0,3.0,0.0,2.41,2.41,0.55,3.7,1.31,0.32,0.32,0.07,0.40,0.40,0.49,0.17
Rodríguez,James,EVE,7,605,3.0,3.0,3.0,1.85,1.85,2.76,4.89,2.43,0.27,0.27,0.41,0.68,0.68,0.73,0.36
Lacazette,Alexandre,ARS,7,495,3.0,3.0,0.0,2.70,2.70,0.31,3.21,0.33,0.49,0.49,0.06,0.55,0.55,0.58,0.06
Tielemans,Youri,LEI,8,720,3.0,1.0,0.0,2.35,0.83,0.10,3.11,2.37,0.29,0.10,0.01,0.31,0.12,0.39,0.30
Jota,Diogo,LIV,6,302,3.0,3.0,0.0,1.57,1.57,0.22,2.6,0.88,0.47,0.47,0.07,0.53,0.53,0.78,0.26
Adams,Che,SOU,8,691,3.0,3.0,2.0,3.39,3.39,1.09,3.62,0.65,0.44,0.44,0.14,0.58,0.58,0.47,0.08
Vestergaard,Jannik,SOU,7,582,2.0,2.0,0.0,0.50,0.50,0.61,1.24,1.24,0.08,0.08,0.09,0.17,0.17,0.19,0.19
Aubameyang,Pierre-Emerick,ARS,8,717,2.0,1.0,1.0,1.35,0.59,1.32,2.67,0.85,0.17,0.07,0.17,0.33,0.24,0.34,0.11
Rashford,Marcus,MUN,7,630,2.0,2.0,3.0,1.81,1.81,0.66,2.85,0.91,0.26,0.26,0.09,0.35,0.35,0.41,0.13
Barkley,Ross,AVL,7,485,2.0,2.0,1.0,1.53,1.53,1.88,3.77,0.76,0.28,0.28,0.35,0.63,0.63,0.70,0.14
Sterling,Raheem,MCI,7,624,2.0,2.0,1.0,1.59,1.59,1.71,5.49,3.33,0.23,0.23,0.25,0.47,0.47,0.79,0.48
Abraham,Tammy,CHE,7,377,2.0,2.0,1.0,2.18,2.18,0.24,1.45,0.04,0.52,0.52,0.06,0.58,0.58,0.35,0.01
Mitrovic,Aleksandar,FUL,8,656,2.0,1.0,2.0,3.78,2.26,1.40,3.61,0.48,0.52,0.31,0.19,0.71,0.50,0.50,0.07
Chilwell,Ben,CHE,5,450,2.0,2.0,2.0,0.96,0.96,0.54,1.48,1.03,0.19,0.19,0.11,0.30,0.30,0.30,0.21
Mings,Tyrone,AVL,7,630,2.0,2.0,1.0,0.94,0.94,0.07,1.38,1.37,0.13,0.13,0.01,0.14,0.14,0.20,0.20
Keane,Michael,EVE,8,720,2.0,2.0,0.0,1.20,1.20,0.14,2.69,2.56,0.15,0.15,0.02,0.17,0.17,0.34,0.32
Fornals,Pablo,WHU,8,668,2.0,2.0,2.0,2.12,2.12,0.89,4.47,1.51,0.29,0.29,0.12,0.41,0.41,0.60,0.20
Costa,Hélder,LEE,8,632,2.0,2.0,2.0,0.41,0.41,0.49,2.61,1.98,0.06,0.06,0.07,0.13,0.13,0.37,0.28
Klich,Mateusz,LEE,8,701,2.0,1.0,3.0,0.92,0.16,1.10,4.39,3.44,0.12,0.02,0.14,0.26,0.16,0.56,0.44
Robinson,Callum,WBA,8,421,2.0,2.0,0.0,0.43,0.43,0.28,1.2,0.57,0.09,0.09,0.06,0.15,0.15,0.26,0.12
Jesus,Gabriel,MCI,2,180,2.0,2.0,0.0,0.95,0.95,0.27,1.78,0.56,0.47,0.47,0.13,0.61,0.61,0.89,0.28
Foden,Phil,MCI,6,386,2.0,2.0,0.0,1.56,1.56,0.20,2.06,0.35,0.36,0.36,0.05,0.41,0.41,0.48,0.08
Barnes,Harvey,LEI,8,615,2.0,2.0,1.0,1.98,1.98,0.09,2.14,0.16,0.29,0.29,0.01,0.30,0.30,0.31,0.02
Reid,Bobby,FUL,7,392,2.0,2.0,0.0,1.58,1.58,0.05,2.49,0.92,0.36,0.36,0.01,0.37,0.37,0.57,0.21
McGoldrick,David,SHU,8,390,2.0,2.0,0.0,0.81,0.81,0.44,1.63,0.95,0.19,0.19,0.10,0.29,0.29,0.38,0.22
Saint-Maximin,Allan,NEW,7,520,1.0,1.0,1.0,0.70,0.70,1.25,2.71,0.84,0.12,0.12,0.22,0.34,0.34,0.47,0.15
De,Kevin,MCI,6,471,1.0,0.0,3.0,2.51,0.99,1.98,3.45,1.32,0.48,0.19,0.38,0.86,0.57,0.66,0.25
