Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Diangana,WBA,MID,5.5,0.6%,2.3,16.0,413.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,80.4,54.3,82.0,21.7,2.3,0.0,0.4,2.9,3.2,39061.0,39028.0,0.0,0.0
Doucouré,EVE,MID,5.4,1.4%,3.0,13.0,411.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,80.8,97.7,47.0,22.5,3.0,0.0,0.6,2.4,2.6,63930.0,134644.0,-1.0,1.0
Oriol Romeu,SOU,MID,4.5,4.3%,5.0,17.0,410.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,60.0,105.6,36.2,28.0,17.0,5.0,0.0,1.1,3.8,3.4,182308.0,177012.0,0.0,0.0
Firmino,LIV,FWD,9.3,2.6%,3.0,15.0,409.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,70.0,118.0,178.0,36.6,3.0,0.0,0.3,1.6,3.0,66291.0,198355.0,-2.0,2.0
Fornals,WHU,MID,6.4,0.4%,7.7,27.0,409.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,80.0,86.6,64.1,88.0,23.9,7.7,0.0,1.2,4.2,5.4,22710.0,11408.0,-1.0,1.0
Hayden,NEW,MID,4.9,0.1%,1.3,8.0,408.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,54.6,27.8,23.0,10.6,1.3,0.0,0.3,1.6,1.6,1934.0,4950.0,-1.0,1.0
Adams,SOU,FWD,5.8,1.7%,6.0,21.0,407.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,57.0,93.2,65.0,179.0,33.8,6.0,1.0,1.0,3.6,4.2,75182.0,256709.0,-2.0,2.0
Costa,LEE,MID,5.7,9.3%,2.3,26.0,405.0,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,108.2,52.7,103.0,26.5,2.3,1.0,0.4,4.6,5.2,915620.0,384728.0,2.0,-2.0
Bednarek,SOU,DEF,4.5,2.1%,5.0,16.0,405.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,69.8,14.4,21.0,10.5,5.0,0.0,1.1,3.6,3.2,35090.0,90337.0,0.0,0.0
Neto,WOL,MID,5.5,1.4%,4.3,21.0,403.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,86.2,130.8,90.0,30.8,4.3,0.0,0.8,3.8,4.2,123041.0,55863.0,0.0,0.0
Bamford,LEE,FWD,5.8,24.5%,3.7,32.0,400.0,3.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,103.0,130.4,29.7,193.0,35.3,3.7,0.0,0.6,5.5,6.4,1858679.0,647702.0,3.0,-3.0
