Player,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
KonsaAVLDEF,4.6,6.8%,7.0,28.0,360.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,99.0,96.6,0.5,42.0,13.9,7.0,1.0,1.5,6.1,7.0,507763.0,113307.0,1.0,-1.0
McGinnAVLMID,5.5,1.8%,6.8,27.0,360.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,101.0,138.4,142.7,64.0,34.5,6.8,0.0,1.2,4.9,6.8,119296.0,36176.0,0.0,0.0
WatkinsAVLFWD,6.0,4.5%,6.2,25.0,360.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0,137.0,69.6,168.0,37.4,6.2,1.0,1.0,4.2,6.2,360832.0,127623.0,0.0,0.0
PopeBURGKP,5.5,12.1%,4.7,15.0,360.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,64.0,80.6,0.0,0.0,8.0,4.7,1.0,0.9,2.7,3.8,122009.0,382184.0,0.0,0.0
LongBURDEF,4.5,0.2%,3.3,10.0,360.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,61.6,10.9,14.0,8.7,3.3,0.0,0.7,2.2,2.5,5214.0,6884.0,0.0,0.0
TaylorBURDEF,4.5,3.8%,2.7,11.0,360.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,54.2,37.4,9.0,10.1,2.7,0.0,0.6,2.4,2.8,123203.0,170454.0,0.0,0.0
WestwoodBURMID,5.4,0.6%,4.0,14.0,360.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,69.0,72.8,71.4,19.0,16.4,4.0,0.0,0.7,2.6,3.5,7095.0,29367.0,-1.0,1.0
BrownhillBURMID,5.0,0.0%,2.3,9.0,360.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.4,50.8,51.0,13.8,2.3,0.0,0.5,1.8,2.2,1670.0,1932.0,0.0,0.0
McNeilBURMID,5.9,0.6%,2.0,11.0,360.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,67.8,110.3,15.0,19.4,2.0,0.0,0.3,1.9,2.8,13557.0,34734.0,-1.0,1.0
WoodBURFWD,6.4,1.5%,2.0,12.0,360.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,39.6,7.8,141.0,18.2,2.0,0.0,0.3,1.9,3.0,75417.0,126991.0,-1.0,1.0
ZoumaCHEDEF,5.0,4.1%,4.7,23.0,360.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,145.0,3.3,74.0,22.3,4.7,1.0,0.9,4.6,5.8,256603.0,103121.0,0.0,0.0
AllanEVEMID,5.4,1.1%,1.0,8.0,360.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,58.4,21.3,8.0,8.7,1.0,0.0,0.2,1.5,2.0,67257.0,115135.0,-1.0,1.0
AreolaFULGKP,4.5,1.3%,2.3,8.0,360.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,63.0,104.0,0.0,0.0,10.3,2.3,0.0,0.5,1.8,2.0,41424.0,55494.0,0.0,0.0
ReamFULDEF,4.4,0.2%,1.7,6.0,360.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,69.2,3.3,0.0,7.3,1.7,0.0,0.4,1.4,1.5,3849.0,7725.0,-1.0,1.0
CairneyFULMID,5.3,0.1%,1.7,6.0,360.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0,59.0,104.5,16.0,17.9,1.7,0.0,0.3,1.1,1.5,1555.0,13110.0,-2.0,2.0
SöyüncüLEIDEF,5.4,6.8%,0.3,8.0,360.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,83.4,24.6,44.0,15.2,0.3,0.0,0.1,1.5,2.0,101180.0,543960.0,-1.0,1.0
