Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
James,CHE,5.1,DEF,13.80%,5.3,47,723,1,1,4,8,0,0,0,2,0,0,9,213,211.8,220.3,76,51.0,5.3,2,1.0,9.2,5.2,1306223,844940,1,-1
Lamptey,BHA,4.8,DEF,11.00%,3.5,28,720,1,3,1,13,0,0,0,2,1,0,2,122,137.2,148.0,146,43.2,3.5,0,0.7,5.8,3.1,1093089,514318,3,-3
Pope,BUR,5.4,GKP,9.50%,6.3,39,720,0,0,3,12,0,0,0,0,0,27,8,156,203.4,0.0,0,20.3,6.3,1,1.2,7.2,4.9,156394,591507,-1,1
Brownhill,BUR,5.0,MID,0.00%,2.0,18,720,0,0,3,12,0,0,0,1,0,0,0,104,88.8,94.0,55,23.8,2.0,0,0.4,3.6,2.2,2821,3379,0,0
Zaha,CRY,7.3,MID,16.70%,1.7,54,720,5,2,1,12,0,0,0,2,0,0,8,144,243.6,162.8,346,75.3,1.7,2,0.2,7.4,6.8,2477600,2087856,3,-3
Mina,EVE,5.5,DEF,2.00%,0.2,20,720,1,0,1,13,0,0,0,1,0,0,1,132,190.2,4.7,59,25.4,0.2,0,0.0,3.6,2.5,139505,118326,0,0
Alisson,LIV,5.9,GKP,7.40%,3.7,32,720,0,0,2,8,0,1,0,1,0,15,3,144,172.8,0.0,0,17.3,3.7,1,0.6,5.4,4.0,281251,771290,-1,1
Lindelöf,MUN,4.8,DEF,1.20%,3.0,22,720,0,0,2,10,0,0,0,0,0,0,1,140,131.8,29.7,8,17.0,3.0,0,0.6,4.6,2.8,46794,99902,-2,2
Wan-Bissaka,MUN,5.4,DEF,8.60%,3.2,27,720,1,0,2,13,0,0,0,0,0,0,2,141,164.0,68.4,50,28.1,3.2,0,0.6,5.0,3.4,358412,604889,-1,1
Stevens,SHU,5.2,DEF,1.50%,0.0,10,720,0,0,0,14,0,0,0,1,0,0,0,107,140.4,31.7,55,22.8,0.0,0,0.0,1.9,1.2,17574,266083,-3,3
Balbuena,WHU,4.4,DEF,1.70%,4.7,35,720,1,0,4,7,0,0,0,1,0,0,0,150,164.0,5.8,34,20.4,4.7,0,1.1,8.0,4.4,147442,45114,-1,1
Mount,CHE,6.8,MID,4.50%,3.3,35,719,1,3,3,9,0,0,0,1,0,0,2,149,167.4,232.5,224,62.4,3.3,1,0.5,5.1,3.9,325650,594233,-2,2
Barnes,LEI,6.9,MID,4.10%,4.2,42,718,3,1,2,11,0,0,0,0,0,0,4,109,178.8,82.1,351,61.1,4.2,0,0.6,6.1,4.2,537927,534811,-1,1
Trézéguet,AVL,5.3,MID,0.90%,2.2,25,715,0,1,4,10,0,0,0,0,0,0,0,75,111.8,121.6,324,55.6,2.2,0,0.4,4.7,2.8,52124,89555,-2,2
Townsend,WBA,4.5,DEF,0.20%,2.8,24,704,0,0,2,10,0,0,0,0,0,0,3,128,139.0,74.2,50,26.3,2.8,0,0.6,5.3,3.0,11671,7802,0,0
Digne,EVE,6.2,DEF,9.20%,2.2,34,701,0,5,1,14,0,0,0,0,1,0,8,180,205.4,232.3,42,48.1,2.2,1,0.4,5.5,4.2,1241440,1307428,2,-2
Mitrović,FUL,5.6,FWD,5.70%,2.8,30,692,2,2,1,12,0,0,1,2,0,0,3,79,143.4,140.4,339,61.0,2.8,0,0.5,5.4,3.0,481580,1644259,-4,4
Alexander-Arnold,LIV,7.2,DEF,14.20%,0.7,21,690,0,1,1,16,0,0,0,1,0,0,4,144,133.2,225.3,93,45.1,0.7,0,0.1,2.9,2.6,387159,3026971,-3,3
Armstrong,SOU,5.5,MID,0.70%,4.8,33,690,1,2,4,9,0,0,0,0,0,0,2,113,132.8,122.1,87,34.2,4.8,1,0.9,6.0,4.1,55983,35459,0,0
McArthur,CRY,5.3,MID,0.10%,2.3,16,689,0,0,2,8,0,0,0,2,0,0,0,77,118.8,97.0,30,24.6,2.3,0,0.4,3.0,2.0,4005,12710,-2,2
Semedo,WOL,5.6,DEF,3.50%,2.0,29,689,0,0,3,7,0,0,0,0,0,0,2,139,136.6,124.5,48,31.1,2.0,0,0.4,5.2,3.6,338127,126855,1,-1
Cairney,FUL,5.3,MID,0.20%,2.2,24,687,1,1,1,14,0,0,0,2,0,0,2,153,168.4,253.6,88,51.0,2.2,0,0.4,4.5,3.0,9810,18937,-2,2
Lascelles,NEW,4.4,DEF,1.60%,1.0,14,672,0,0,1,13,0,0,0,1,0,0,0,102,126.2,2.2,26,15.5,1.0,0,0.2,3.2,1.8,74279,209703,-1,1
Lundstram,SHU,5.1,MID,2.60%,1.3,13,664,0,0,1,12,0,0,1,3,0,0,0,70,92.6,174.2,119,38.6,1.3,0,0.3,2.5,1.3,37425,648438,-4,4
Fabinho,LIV,5.4,MID,0.90%,1.7,19,662,0,1,2,13,0,0,0,1,0,0,0,118,127.0,44.2,9,18.2,1.7,0,0.3,3.5,2.4,72005,133696,-1,1
Sissoko,TOT,4.8,MID,0.50%,2.5,18,662,0,0,4,6,0,0,0,1,0,0,0,86,76.0,38.6,0,11.5,2.5,0,0.5,3.8,2.2,23396,38698,-2,2
Livermore,WBA,4.8,MID,0.10%,0.8,12,656,0,0,1,17,1,0,0,2,0,0,0,52,65.0,42.6,25,13.2,0.8,0,0.2,2.5,1.5,4268,11663,-2,2
Trossard,BHA,6.0,MID,0.90%,1.0,29,653,1,2,2,14,0,0,0,1,0,0,1,85,85.6,157.3,140,38.0,1.0,0,0.2,4.8,3.6,246307,234003,0,0
Podence,WOL,5.4,MID,3.10%,4.0,40,653,2,2,5,6,0,0,0,0,0,0,2,131,162.8,134.5,206,50.3,4.0,0,0.7,7.4,4.4,658780,480330,-1,1
De Bruyne,MCI,11.7,MID,20.20%,5.0,39,652,1,5,2,10,0,0,1,0,0,0,4,152,231.2,374.0,288,89.5,5.0,0,0.4,3.3,4.9,2222152,2685746,2,-2
Diangana,WBA,5.4,MID,0.30%,1.2,23,649,1,0,1,17,0,0,0,0,0,0,0,62,104.4,74.8,126,30.5,1.2,0,0.2,4.3,2.6,42582,61728,-1,1
Neves,WOL,5.2,MID,1.40%,1.0,17,643,0,0,3,9,0,0,0,3,0,0,0,109,125.8,127.7,114,36.9,1.0,0,0.2,3.3,1.7,37549,128372,-3,3
Sterling,MCI,11.4,MID,4.40%,0.7,34,639,2,1,2,9,0,0,0,1,0,0,5,86,128.8,132.7,290,55.2,0.7,0,0.1,3.0,4.2,719314,684594,-1,1
McBurnie,SHU,5.6,FWD,0.30%,1.7,18,639,0,1,0,13,0,0,0,1,0,0,0,35,88.0,123.1,288,49.8,1.7,0,0.3,3.2,1.8,11754,45471,-4,4
Saka,ARS,5.2,MID,2.50%,1.5,21,633,1,0,2,8,1,0,0,0,0,0,1,84,115.8,124.7,229,47.0,1.5,0,0.3,4.0,2.6,118287,463905,-3,3
Dunk,BHA,4.8,DEF,2.70%,1.2,10,630,0,0,1,13,1,0,0,1,1,0,2,98,95.0,17.6,38,15.1,1.2,0,0.3,2.1,1.4,64667,447184,-2,2
Tarkowski,BUR,5.4,DEF,2.40%,4.0,21,630,0,0,3,12,0,0,0,1,0,0,0,98,123.8,32.8,91,24.9,4.0,0,0.7,3.9,3.0,38615,262233,-1,1
Robinson,FUL,4.4,DEF,0.10%,2.8,16,630,0,0,1,9,0,0,0,1,0,0,1,111,154.8,179.5,52,38.8,2.8,0,0.6,3.6,2.3,6776,8286,-1,1
Aina,FUL,4.5,DEF,0.30%,5.0,25,630,1,0,1,9,0,0,0,0,0,0,3,115,148.2,90.5,28,26.5,5.0,1,1.1,5.6,3.6,27472,8725,0,0
Cooper,LEE,4.4,DEF,0.50%,2.2,19,630,0,0,3,12,0,0,0,3,0,0,1,143,143.8,5.9,16,16.6,2.2,0,0.5,4.3,2.7,40513,59861,-1,1
Phillips,LEE,4.9,MID,1.30%,1.2,17,630,0,1,3,9,0,0,0,3,0,0,0,109,145.6,183.8,34,36.4,1.2,0,0.2,3.5,2.4,158288,270272,-1,1
Bartley,WBA,4.4,DEF,0.20%,2.2,18,630,1,0,1,15,0,0,0,1,0,0,0,92,154.4,2.2,82,23.8,2.2,0,0.5,4.1,2.6,12373,14360,-1,1
